appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
581840,Caliper,Tort,Tort,,15,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
562090,Kronos,UroboroStudio,UroboroStudio,,12,8,0,"0 .. 20,000",0,0,0,0,499,499,0,0
521710,Romance of the Three Kingdoms Ⅲ / 三國志Ⅲ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,6,9,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
586990,Just VR Slingshot Target Practice,Shorebound Studios,Shorebound Studios,,11,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
596470,Cartesian,Mark Radocy,Mark Radocy,,37,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
602010,Plank not included,4 Fun Studio,4 Fun Studio,,38,6,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
577530,Pixel Ripped 1989,ARVORE Immersive Games Inc.,ARVORE Immersive Experiences,,126,24,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
589300,Legend of the Skyfish,Mgaia Studio,Crescent Moon Games,,28,10,0,"0 .. 20,000",0,0,0,0,799,799,0,0
600530,Kautic - The Bald Wizard,Bad Coffee Games,Bad Coffee Games,,25,5,0,"0 .. 20,000",0,0,0,0,99,99,0,15
603800,ReThink,Yaeko,Yaeko,,175,44,0,"0 .. 20,000",212,0,212,0,999,999,0,0
540590,Red Barton and The Sky Pirates,Schism Worldwide,Plug In Digital,,2,9,0,"0 .. 20,000",0,0,0,0,99,99,0,0
601490,Passengers: Awakening VR Experience,MPC VR,Sony Pictures Virtual Reality,,8,10,0,"0 .. 20,000",0,0,0,0,799,799,0,0
493180,Dynasty Feud,Kaia Studios,Kaia Studios,,62,16,0,"0 .. 20,000",0,0,0,0,0,0,0,0
600330,CONTRACTED,Hardy Games,Hardy Games,,13,6,0,"0 .. 20,000",0,0,0,0,199,199,0,0
589260,Nice Slice,Kool2Play,Kool2Play,,13,8,0,"0 .. 20,000",0,0,0,0,0,0,0,0
583030,Eraser & Builder,"CFK Co., Ltd.","CFK Co., Ltd.",,6,5,0,"0 .. 20,000",0,0,0,0,199,199,0,0
530510,Manipulated,Wolfray Entertainment,Wolfray Entertainment,,39,6,0,"0 .. 20,000",0,0,0,0,299,299,0,0
514140,Elite Warriors: Vietnam,N-Fusion Interactive,Ziggurat,,17,10,0,"0 .. 20,000",1309,0,1309,0,999,999,0,0
512150,Swordlord,Justin Varghese,Justin Varghese,,38,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
568180,SkyKeepers,Sword Twin Studios Ltd.,Sword Twin Studios Ltd.,,11,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
